time	count
0.00	0.00
5037354.00	0.25
5037700.00	0.00
5039357.00	0.25
5039665.00	0.00
5040337.00	0.25
5040398.00	0.00
5041443.00	0.25
5041514.00	0.50
5041526.00	0.25
5066637.00	0.50
5066654.00	0.25
5066746.00	0.50
5066752.00	0.25
5067198.00	0.50
5067246.00	0.25
5067495.00	0.00
5068509.00	0.25
5068526.00	0.00
5068695.00	0.25
5068700.00	0.00
5068865.00	0.25
5068869.00	0.00
5069032.00	0.25
5069036.00	0.00
5069231.00	0.25
5069246.00	0.00
5069622.00	0.25
5069642.00	0.00
5112492.00	0.25
5112681.00	0.00
5112757.00	0.25
5112766.00	0.50
5112836.00	0.25
5112889.00	0.00
5112917.00	0.25
5112964.00	0.00
5112967.00	0.25
5112988.00	0.00
5113050.00	0.25
5113064.00	0.00
5113098.00	0.25
5113130.00	0.00
5113204.00	0.25
5113217.00	0.00
5113272.00	0.25
5113294.00	0.00
5113356.00	0.25
5113360.00	0.00
5113439.00	0.25
5113460.00	0.00
5113531.00	0.25
5113546.00	0.00
5113600.00	0.25
5113620.00	0.00
5113673.00	0.25
5113678.00	0.00
5113759.00	0.25
5113779.00	0.00
5113830.00	0.25
5113844.00	0.00
5113916.00	0.25
5113935.00	0.00
5113991.00	0.25
5113995.00	0.00
5114088.00	0.25
5114108.00	0.00
5114157.00	0.25
5114160.00	0.00
5114251.00	0.25
5114271.00	0.00
5114332.00	0.25
5114343.00	0.00
5114411.00	0.25
5114431.00	0.00
5114499.00	0.25
5114507.00	0.00
5114563.00	0.25
5114584.00	0.00
5114634.00	0.25
5114638.00	0.00
5114719.00	0.25
5114739.00	0.00
5114791.00	0.25
5114795.00	0.00
5114872.00	0.25
5114891.00	0.00
5114939.00	0.25
5114949.00	0.00
5115026.00	0.25
5115045.00	0.00
5115096.00	0.25
5115100.00	0.00
5115178.00	0.25
5115197.00	0.00
5115246.00	0.25
5115250.00	0.00
5115331.00	0.25
5115349.00	0.00
5115397.00	0.25
5115401.00	0.00
5115482.00	0.25
5115500.00	0.00
5115548.00	0.25
5115552.00	0.00
5115632.00	0.25
5115650.00	0.00
5115701.00	0.25
5115705.00	0.00
5115777.00	0.25
5115795.00	0.00
5115842.00	0.25
5115845.00	0.00
5115927.00	0.25
5115950.00	0.00
5116000.00	0.25
5116024.00	0.00
5116088.00	0.25
5116106.00	0.00
5116157.00	0.25
5116160.00	0.00
5116240.00	0.25
5116258.00	0.00
5116310.00	0.25
5116313.00	0.00
5116391.00	0.25
5116410.00	0.00
5116458.00	0.25
5116461.00	0.00
5116545.00	0.25
5116563.00	0.00
5116611.00	0.25
5116615.00	0.00
5116699.00	0.25
5116718.00	0.00
5116765.00	0.25
5116768.00	0.00
5116855.00	0.25
5116873.00	0.00
5116921.00	0.25
5116925.00	0.00
5117007.00	0.25
5117026.00	0.00
5117078.00	0.25
5117081.00	0.00
5117161.00	0.25
5117179.00	0.00
5117231.00	0.25
5117234.00	0.00
5117314.00	0.25
5117333.00	0.00
5117380.00	0.25
5117384.00	0.00
5117465.00	0.25
5117483.00	0.00
5117531.00	0.25
5117535.00	0.00
5117617.00	0.25
5117635.00	0.00
5117682.00	0.25
5117685.00	0.00
5117763.00	0.25
5117781.00	0.00
5117827.00	0.25
5117831.00	0.00
5117913.00	0.25
5117931.00	0.00
5117984.00	0.25
5117987.00	0.00
5118071.00	0.25
5118090.00	0.00
5118137.00	0.25
5118141.00	0.00
5118225.00	0.25
5118243.00	0.00
5118292.00	0.25
5118295.00	0.00
5118409.00	0.25
5118427.00	0.00
5118476.00	0.25
5118479.00	0.00
5118565.00	0.25
5118583.00	0.00
5118631.00	0.25
5118634.00	0.00
5118716.00	0.25
5118734.00	0.00
5118781.00	0.25
5118785.00	0.00
5118863.00	0.25
5118882.00	0.00
5118928.00	0.25
5118931.00	0.00
5119021.00	0.25
5119039.00	0.00
5119103.00	0.25
5119107.00	0.00
5119175.00	0.25
5119195.00	0.00
5119243.00	0.25
5119246.00	0.00
5119328.00	0.25
5119347.00	0.00
5119394.00	0.25
5119399.00	0.00
5119481.00	0.25
5119499.00	0.00
5119547.00	0.25
5119550.00	0.00
5119636.00	0.25
5119653.00	0.00
5119701.00	0.25
5119704.00	0.00
5119782.00	0.25
5119800.00	0.00
5119847.00	0.25
5119851.00	0.00
5119934.00	0.25
5119958.00	0.00
5120007.00	0.25
5120010.00	0.00
5120093.00	0.25
5120112.00	0.00
5120159.00	0.25
5120163.00	0.00
5120247.00	0.25
5120265.00	0.00
5120314.00	0.25
5120318.00	0.00
5120398.00	0.25
5120416.00	0.00
5120464.00	0.25
5120467.00	0.00
5120550.00	0.25
5120567.00	0.00
5120615.00	0.25
5120619.00	0.00
5120700.00	0.25
5120718.00	0.00
5120764.00	0.25
5120768.00	0.00
5120846.00	0.25
5120863.00	0.00
5120910.00	0.25
5120914.00	0.00
5121002.00	0.25
5121020.00	0.00
5121067.00	0.25
5121070.00	0.00
5121156.00	0.25
5121173.00	0.00
5121221.00	0.25
5121225.00	0.00
5121308.00	0.25
5121326.00	0.00
5121374.00	0.25
5121378.00	0.00
5121466.00	0.25
5121484.00	0.00
5121532.00	0.25
5121535.00	0.00
5121617.00	0.25
5121635.00	0.00
5121682.00	0.25
5121686.00	0.00
5121762.00	0.25
5121780.00	0.00
5121828.00	0.25
5121831.00	0.00
5121912.00	0.25
5121930.00	0.00
5121981.00	0.25
5121984.00	0.00
5122074.00	0.25
5122092.00	0.00
5122140.00	0.25
5122144.00	0.00
5122227.00	0.25
5122245.00	0.00
5122292.00	0.25
5122296.00	0.00
5122378.00	0.25
5122396.00	0.00
5122445.00	0.25
5122448.00	0.00
5122535.00	0.25
5122553.00	0.00
5122600.00	0.25
5122604.00	0.00
5122679.00	0.25
5122697.00	0.00
5122744.00	0.25
5122747.00	0.00
5122828.00	0.25
5122846.00	0.00
5122893.00	0.25
5122896.00	0.00
5122985.00	0.25
5123002.00	0.00
5123050.00	0.25
5123053.00	0.00
5123138.00	0.25
5123156.00	0.00
5123204.00	0.25
5123207.00	0.00
5123289.00	0.25
5123307.00	0.00
5123360.00	0.25
5123363.00	0.00
5123447.00	0.25
5123465.00	0.00
5123518.00	0.25
5123522.00	0.00
5123592.00	0.25
5123610.00	0.00
5123657.00	0.25
5123660.00	0.00
5123742.00	0.25
5123760.00	0.00
5123821.00	0.25
5123825.00	0.00
5123918.00	0.25
5123936.00	0.00
5123990.00	0.25
5123994.00	0.00
5124088.00	0.25
5124107.00	0.00
5124157.00	0.25
5124160.00	0.00
5124252.00	0.25
5124270.00	0.00
5124319.00	0.25
5124323.00	0.00
5124413.00	0.25
5124431.00	0.00
5124479.00	0.25
5124483.00	0.00
5124578.00	0.25
5124595.00	0.00
5124644.00	0.25
5124647.00	0.00
5124735.00	0.25
5124752.00	0.00
5124801.00	0.25
5124804.00	0.00
5124896.00	0.25
5124914.00	0.00
5124967.00	0.25
5124971.00	0.00
5125068.00	0.25
5125087.00	0.00
5125156.00	0.25
5125169.00	0.00
5125243.00	0.25
5125262.00	0.00
5125312.00	0.25
5125316.00	0.00
5125410.00	0.25
5125429.00	0.00
5125478.00	0.25
5125481.00	0.00
5125575.00	0.25
5125593.00	0.00
5125643.00	0.25
5125647.00	0.00
5125732.00	0.25
5125750.00	0.00
5125799.00	0.25
5125803.00	0.00
5125893.00	0.25
5125911.00	0.00
5125964.00	0.25
5125968.00	0.00
5126067.00	0.25
5126086.00	0.00
5126135.00	0.25
5126140.00	0.00
5126231.00	0.25
5126249.00	0.00
5126298.00	0.25
5126302.00	0.00
5126395.00	0.25
5126413.00	0.00
5126461.00	0.25
5126465.00	0.00
5126558.00	0.25
5126576.00	0.00
5126624.00	0.25
5126628.00	0.00
5126715.00	0.25
5126732.00	0.00
5126781.00	0.25
5126785.00	0.00
5126878.00	0.25
5126896.00	0.00
5126954.00	0.25
5126958.00	0.00
5127047.00	0.25
5127065.00	0.00
5127115.00	0.25
5127119.00	0.00
5127212.00	0.25
5127230.00	0.00
5127278.00	0.25
5127282.00	0.00
5127377.00	0.25
5127395.00	0.00
5127444.00	0.25
5127448.00	0.00
5127539.00	0.25
5127557.00	0.00
5127606.00	0.25
5127610.00	0.00
5127696.00	0.25
5127714.00	0.00
5127763.00	0.25
5127766.00	0.00
5127861.00	0.25
5127878.00	0.00
5127927.00	0.25
5127931.00	0.00
5128030.00	0.25
5128048.00	0.00
5128104.00	0.25
5128108.00	0.00
5128195.00	0.25
5128213.00	0.00
5128262.00	0.25
5128266.00	0.00
5128358.00	0.25
5128375.00	0.00
5128424.00	0.25
5128428.00	0.00
5128520.00	0.25
5128538.00	0.00
5128585.00	0.25
5128589.00	0.00
5128681.00	0.25
5128699.00	0.00
5128748.00	0.25
5128751.00	0.00
5128839.00	0.25
5128858.00	0.00
5128907.00	0.25
5128911.00	0.00
5129006.00	0.25
5129024.00	0.00
5129072.00	0.25
5129076.00	0.00
5129172.00	0.25
5129190.00	0.00
5129238.00	0.25
5129241.00	0.00
5129335.00	0.25
5129353.00	0.00
5129402.00	0.25
5129406.00	0.00
5129499.00	0.25
5129517.00	0.00
5129566.00	0.25
5129570.00	0.00
5129661.00	0.25
5129679.00	0.00
5129733.00	0.25
5129737.00	0.00
5129825.00	0.25
5129843.00	0.00
5129895.00	0.25
5129898.00	0.00
5129989.00	0.25
5130007.00	0.00
5130055.00	0.25
5130059.00	0.00
5130156.00	0.25
5130174.00	0.00
5130224.00	0.25
5130227.00	0.00
5130355.00	0.25
5130373.00	0.00
5130422.00	0.25
5130425.00	0.00
5130493.00	0.25
5130510.00	0.00
5130558.00	0.25
5130562.00	0.00
5130657.00	0.25
5130676.00	0.00
5130723.00	0.25
5130727.00	0.00
5130822.00	0.25
5130839.00	0.00
5130887.00	0.25
5130891.00	0.00
5130985.00	0.25
5131003.00	0.00
5131069.00	0.25
5131073.00	0.00
5131151.00	0.25
5131171.00	0.00
5131220.00	0.25
5131224.00	0.00
5131315.00	0.25
5131333.00	0.00
5131381.00	0.25
5131385.00	0.00
5131480.00	0.25
